hold,rebalance,k_pct,exec_lag,cost,gross_sharpe,net_sharpe,ann_return,max_drawdown,turnover_annual,cost_drag_annual,n_bars
6,1,0.1,1,high,-0.7050724335524012,-15.686234612663517,-0.9814580383975784,-0.9999939585868636,2518.0916483571987,3.777137472535798,26398
6,1,0.1,2,low,-1.0558339815084412,-3.1195882827110935,-0.5466688789475633,-0.9097999757196626,2517.981033916711,0.503596206783342,26398
6,1,0.1,2,med,-1.0558339815084412,-8.794504321165252,-0.8865352994997577,-0.9985814292987171,2517.981033916711,1.8884857754375333,26398
6,1,0.1,2,high,-1.0558339815084412,-16.529553271056166,-0.982844582018971,-0.9999952200788477,2517.981033916711,3.7769715508750665,26398
6,1,0.2,1,low,-0.5143817421529709,-3.522912629456437,-0.4218079273710602,-0.8096960484855362,2289.559317264295,0.457911863452859,26398
6,1,0.2,1,med,-0.5143817421529709,-11.79514776956043,-0.8359001238255354,-0.9956872725074793,2289.559317264295,1.7171694879482209,26398
6,1,0.2,1,high,-0.5143817421529709,-23.06589978938968,-0.970547736158682,-0.9999756367856397,2289.559317264295,3.434338975896442,26398
6,1,0.2,2,low,-0.8723799326919922,-3.971833778102448,-0.4499486247971477,-0.8351715820780283,2289.472405918197,0.45789448118363946,26398
6,1,0.2,2,med,-0.8723799326919922,-12.495404853797178,-0.8438801066349226,-0.996288834154081,2289.472405918197,1.717104304438648,26398
6,1,0.2,2,high,-0.8723799326919922,-24.111312349243455,-0.9719783043231857,-0.9999790313490622,2289.472405918197,3.434208608877296,26398
6,1,0.3,1,low,-0.40281265763845125,-4.014550318765031,-0.3712370248831156,-0.7567281290152128,2057.8801011095875,0.4115760202219175,26398
6,1,0.3,1,med,-0.40281265763845125,-13.944256462098378,-0.7972884450234685,-0.9918473472019596,2057.8801011095875,1.5434100758321911,26398
6,1,0.3,1,high,-0.40281265763845125,-27.465619548939816,-0.9567089402824556,-0.9999222274212917,2057.8801011095875,3.086820151664382,26398
6,1,0.3,2,low,-0.8795075743722734,-4.602513601431096,-0.4024576468862633,-0.7891929408871303,2057.809710102005,0.4115619420204009,26398
6,1,0.3,2,med,-0.8795075743722734,-14.839742350719412,-0.8073473813418708,-0.9930065666651032,2057.809710102005,1.5433572825765038,26398
6,1,0.3,2,high,-0.8795075743722734,-28.782799860662283,-0.9588552291837523,-0.999933276576998,2057.809710102005,3.0867145651530077,26398
6,2,0.1,1,low,-0.7995568094587882,-2.6822224447793617,-0.5297824897404215,-0.9033678069753337,2522.15672904513,0.504431345809026,26398
6,2,0.1,1,med,-0.7995568094587882,-7.835361281553887,-0.8826049277344993,-0.9984286873384264,2522.15672904513,1.8916175467838474,26398
6,2,0.1,1,high,-0.7995568094587882,-14.734769644739208,-0.9823176590214279,-0.9999947638378912,2522.15672904513,3.7832350935676957,26398
6,2,0.1,2,low,-0.9258319995459983,-2.8453158640611047,-0.5426549357079757,-0.9060189146953841,2521.9355001641543,0.5043871000328309,26398
6,2,0.1,2,med,-0.9258319995459983,-8.105494708486336,-0.8857969576991017,-0.9985534293899702,2521.9355001641543,1.8914516251231155,26398
6,2,0.1,2,high,-0.9258319995459983,-15.159513011001478,-0.9827939858830834,-0.9999951774707102,2521.9355001641543,3.782903250246231,26398
6,2,0.2,1,low,-0.4874852227488344,-3.307388930047689,-0.4240385144721587,-0.8130810752313962,2295.5656813827886,0.4591131362765579,26398
6,2,0.2,1,med,-0.4874852227488344,-10.98474448837181,-0.8371031443981126,-0.9957818471217789,2295.5656813827886,1.7216742610370912,26398
